#,clasificacion,indicador,formula,2020,2021,2022,2023,2024,2025
1,Liquidez,Razon corriente,Activo corriente / Pasivo corriente,4.176254,4.529149,4.741014,4.353811,4.834297,5.135074
2,Liquidez,Prueba acida,(Activo corriente - Inventarios) / Pasivo corriente,1.362167,1.524322,1.659793,2.003502,2.237536,1.84789
3,Liquidez,Razon de efectivo,Efectivo y equivalentes de efectivo / Pasivo corriente,2.400477,1.922438,2.308994,2.915568,2.916844,3.28455
4,Liquidez,Capital de trabajo neto,Activo corriente - Pasivo corriente,3.692217,3.82242,3.89056,4.056434,4.15158,4.794181
5,Liquidez,Capital de trabajo / Activos,Capital de trabajo neto / Activo total,3.51916,3.866724,3.471213,3.675689,3.804764,4.384855
6,Endeudamiento y solvencia,Endeudamiento total,Pasivo total / Activo total,0.631793,0.594522,0.594564,0.712385,0.692305,0.720279
7,Endeudamiento y solvencia,Endeudamiento patrimonial,Pasivo total / Patrimonio,0.379415,0.407904,0.361156,0.475719,0.385869,0.477926
8,Endeudamiento y solvencia,Deuda financiera / Activos,Deuda financiera / Activo total,0.644511,0.80085,0.739214,0.856106,0.903653,0.842437
9,Endeudamiento y solvencia,Deuda financiera / Patrimonio,Deuda financiera / Patrimonio,0.518622,0.57765,0.665837,0.699406,0.71467,0.735504
10,Endeudamiento y solvencia,Autonomia financiera,Patrimonio / Activo total,0.442543,0.388975,0.464201,0.458943,0.460979,0.499479
11,Endeudamiento y solvencia,Apalancamiento financiero,Activo total / Patrimonio,0.343519,0.492399,0.426921,0.480025,0.520189,0.545009
12,Endeudamiento y solvencia,Calidad de la deuda,Pasivo corriente / Pasivo total,0.476044,0.570572,0.626764,0.65718,0.678909,0.60091
13,Endeudamiento y solvencia,Solvencia total,Activo total / Pasivo total,0.743181,0.847482,0.85845,0.859464,0.953165,0.935676
14,Endeudamiento y solvencia,Pasivo / Capital,Pasivo total / (Pasivo total + Patrimonio),0.338512,0.423842,0.339873,0.471781,0.508302,0.41354
15,Actividad y eficiencia,Rotacion de activos totales,Ingresos / ((Activo total actual + Activo total anterior) / 2),2.158251,2.103269,2.201542,2.592311,2.66836,2.505259
16,Actividad y eficiencia,Rotacion de activos fijos,Ingresos / ((Activo no corriente actual + anterior) / 2),0.187353,0.332023,0.438184,0.153604,0.156539,0.208185
